command,executionTime
Loaded doctors,29:05:2020 05:10:40
Loaded patients,29:05:2020 05:10:40
Loaded prescriptions,29:05:2020 05:10:40
Requested doctors,29:05:2020 05:10:40
Added doctor,29:05:2020 05:10:40
Added doctor,29:05:2020 05:10:40
Requested doctors,29:05:2020 05:10:40
Removed doctor,29:05:2020 05:10:40
Requested doctors,29:05:2020 05:10:40
Requested change first name of a doctor,29:05:2020 05:10:40
Requested change last name of a doctor,29:05:2020 05:10:40
Requested doctors,29:05:2020 05:10:40
Requested doctors by idNo,29:05:2020 05:10:40
Requested doctors by first name,29:05:2020 05:10:40
Requested doctors by last name,29:05:2020 05:10:40
Requested family doctors,29:05:2020 05:10:40
Requested specialist doctors,29:05:2020 05:10:40
Requested patients,29:05:2020 05:10:40
Added patient,29:05:2020 05:10:40
Added patient,29:05:2020 05:10:40
Requested patients,29:05:2020 05:10:40
Removed a patient,29:05:2020 05:10:40
Requested patients,29:05:2020 05:10:40
Requested change first name of a patient,29:05:2020 05:10:40
Requested change last name of a patient,29:05:2020 05:10:40
Requested change age of a patient,29:05:2020 05:10:40
Requested change weight of a patient,29:05:2020 05:10:40
Requested change height of a patient,29:05:2020 05:10:40
Requested patients,29:05:2020 05:10:40
Requested civil patients,29:05:2020 05:10:40
Requested military patients,29:05:2020 05:10:40
Requested patient by SSN,29:05:2020 05:10:40
Requested patients by first name,29:05:2020 05:10:40
Requested patients by last name,29:05:2020 05:10:40
Requested prescriptions,29:05:2020 05:10:40
Added prescription,29:05:2020 05:10:40
Added prescription,29:05:2020 05:10:40
Requested prescriptions,29:05:2020 05:10:40
Removed a prescription,29:05:2020 05:10:40
Requested prescriptions,29:05:2020 05:10:40
Requested prescription by index,29:05:2020 05:10:40
Requested prescriptions by medication,29:05:2020 05:10:40
Requested prescriptions by prescribing doctor idNo,29:05:2020 05:10:40
Requested appointment prescriptions,29:05:2020 05:10:40
Requested doctors,29:05:2020 05:10:40
Saved doctors,29:05:2020 05:10:40
Requested patients,29:05:2020 05:10:40
Saved patients,29:05:2020 05:10:40
Requested prescriptions,29:05:2020 05:10:40
Saved prescriptions,29:05:2020 05:10:40
